0.169,0.021,0.047,0.255,0.551,0.180,0.298,0.042,0.045,0.768,1.000,0.045,0.050,0.141,0.153,0.014,0.080,0.100,0.031,0.012,0.012,0.113,0.482,0.261,0.081,0.218,0.077,0.071,0.011,0.110,0.171,0.155,0.007,0.037,0.054,0.007,0.015,0.029,0.014,0.547,0.684,0.461,0.006,0.040,0.005,0.124,0.236,0.392,0.010,0.014
0.044,0.026,0.042,0.027,0.017,0.070,0.005,0.053,0.020,0.036,0.045,1.000,0.892,0.015,0.027,0.017,0.037,0.013,0.547,0.519,0.258,0.101,0.025,0.025,0.064,0.026,0.051,0.008,0.016,0.020,0.017,0.016,0.041,0.104,0.007,0.038,0.018,0.023,0.056,0.024,0.033,0.013,0.069,0.140,0.117,0.026,0.010,0.013,0.007,0.019
0.031,0.035,0.039,0.030,0.019,0.095,0.030,0.023,0.055,0.026,0.050,0.892,1.000,0.025,0.007,0.012,0.049,0.044,0.497,0.423,0.266,0.119,0.021,0.006,0.047,0.035,0.168,0.214,0.022,0.018,0.021,0.007,0.039,0.114,0.011,0.041,0.052,0.037,0.065,0.030,0.016,0.004,0.059,0.072,0.098,0.099,0.020,0.015,0.013,0.024
0.462,0.006,0.065,0.358,0.127,0.350,0.490,0.020,0.014,0.081,0.141,0.015,0.025,1.000,0.847,0.004,0.533,0.849,0.048,0.013,0.018,0.153,0.271,0.190,0.086,0.491,0.184,0.170,0.008,0.009,0.396,0.913,0.008,0.016,0.092,0.008,0.004,0.006,0.018,0.043,0.114,0.042,0.017,0.027,0.001,0.604,0.061,0.059,0.005,0.008
0.202,0.007,0.174,0.218,0.081,0.228,0.638,0.056,0.060,0.073,0.153,0.027,0.007,0.847,1.000,0.020,0.433,0.766,0.049,0.024,0.030,0.104,0.262,0.209,0.124,0.327,0.106,0.130,0.010,0.053,0.355,0.725,0.007,0.011,0.180,0.008,0.004,0.011,0.003,0.043,0.139,0.115,0.027,0.050,0.015,0.589,0.073,0.084,0.016,0.013
0.008,0.212,0.007,0.030,0.033,0.014,0.006,0.017,0.008,0.016,0.014,0.017,0.012,0.004,0.020,1.000,0.010,0.008,0.021,0.023,0.014,0.009,0.035,0.014,0.019,0.013,0.013,0.012,0.628,0.045,0.005,0.000,0.040,0.027,0.026,0.148,0.063,0.079,0.029,0.008,0.010,0.019,0.063,0.002,0.024,0.011,0.005,0.018,0.158,0.024
0.481,0.006,0.185,0.564,0.209,0.467,0.084,0.032,0.038,0.043,0.080,0.037,0.049,0.533,0.433,0.010,1.000,0.711,0.024,0.045,0.066,0.116,0.238,0.167,0.174,0.606,0.049,0.031,0.019,0.039,0.826,0.651,0.037,0.032,0.038,0.001,0.022,0.007,0.046,0.130,0.023,0.074,0.019,0.071,0.021,0.347,0.086,0.072,0.018,0.042
0.421,0.014,0.095,0.400,0.135,0.434,0.338,0.016,0.029,0.060,0.100,0.013,0.044,0.849,0.766,0.008,0.711,1.000,0.038,0.012,0.020,0.117,0.281,0.211,0.119,0.471,0.160,0.159,0.009,0.033,0.542,0.871,0.021,0.025,0.089,0.013,0.010,0.008,0.011,0.058,0.081,0.026,0.016,0.044,0.006,0.474,0.097,0.067,0.002,0.026
0.026,0.016,0.031,0.011,0.021,0.051,0.038,0.123,0.104,0.018,0.031,0.547,0.497,0.048,0.049,0.021,0.024,0.038,1.000,0.745,0.267,0.037,0.007,0.006,0.014,0.012,0.056,0.110,0.038,0.026,0.037,0.058,0.036,0.212,0.021,0.024,0.029,0.014,0.118,0.010,0.004,0.024,0.029,0.169,0.131,0.038,0.029,0.066,0.020,0.096
0.033,0.018,0.044,0.019,0.013,0.031,0.024,0.153,0.219,0.027,0.012,0.519,0.423,0.013,0.024,0.023,0.045,0.012,0.745,1.000,0.329,0.036,0.041,0.013,0.037,0.029,0.124,0.047,0.028,0.020,0.011,0.055,0.045,0.317,0.028,0.015,0.049,0.030,0.238,0.008,0.014,0.027,0.033,0.199,0.051,0.067,0.014,0.053,0.035,0.067
